Engine RPM(rpm),Horsepower (At the wheels)(hp),Miles Per Gallon(Instant)(mpg),Litres Per 100 Kilometer(Instant)(l/100km)
1287.75,5.21,8.4,33.64
1322.0,5.21,9.21,30.66
1315.75,2.56,10.29,27.45
1258.75,2.56,11.56,24.43
1208.75,2.56,9.91,28.49
1230.0,-,9.96,28.35
1254.5,2.53,10.29,27.45
1269.25,2.53,10.45,27.04
1266.25,2.53,10.38,27.22
1284.75,-,10.65,26.53
1267.0,-,10.43,27.09
1264.5,-,10.47,26.99
1295.25,-,9.68,29.18
1313.0,2.89,10.74,26.3
1263.25,2.89,10.74,26.31
1279.25,2.89,10.85,26.04
1245.0,-,9.62,29.37
1233.0,-,11.02,25.63
1204.75,-,10.91,25.89
1225.25,-,9.07,31.16
1258.0,2.41,8.82,32.02
1296.75,2.41,9.25,30.55
1361.25,2.76,9.4,30.04
1396.0,5.41,8.7,32.49
1433.0,5.41,9.83,28.75
1428.0,5.41,10.59,26.67
1384.75,-,10.4,27.15
1365.5,-,10.47,26.98
1401.5,3.13,9.0,31.38
1416.5,3.13,9.65,29.28
1361.0,3.13,10.93,25.84
1382.0,3.13,9.44,29.91
1390.0,3.26,9.65,29.28
1414.5,3.26,9.24,30.58
1481.25,3.26,8.85,31.93
1420.0,3.24,10.5,26.89
1376.5,3.24,11.17,25.28
1278.25,3.24,11.63,24.29
1288.5,-,10.5,26.9
1255.5,-,10.78,26.21
1132.25,-,11.2,25.22
1145.25,-,8.56,33.01
965.75,2.28,12.05,23.44
811.25,2.28,14.1,20.03
916.75,2.28,12.09,23.37
870.75,-,10.67,26.46
868.75,-,8.88,31.8
867.75,-,8.31,33.99
1074.25,-,4.6,61.37
803.25,2.97,6.06,46.65
908.5,7.67,6.1,46.32
1113.25,10.55,5.86,48.24
1256.0,10.55,5.51,51.29
1484.0,13.71,4.66,60.57
1655.5,18.28,4.13,68.32
1814.75,18.28,4.0,70.7
1853.5,15.59,9.6,29.41
1328.5,15.59,8.8,32.1
1356.25,15.59,8.82,32.04
1425.25,11.4,8.52,33.14
1471.25,3.45,8.38,33.72
1490.0,3.45,9.97,28.35
1486.75,3.45,12.26,23.04
1521.25,7.97,10.11,27.95
1546.5,7.97,8.01,35.26
1613.75,9.15,9.89,28.57
1702.0,10.08,6.36,44.38
1638.0,10.08,6.77,41.73
1156.5,10.08,14.31,19.74
881.25,10.08,27.01,10.46
1307.75,-,12.2,23.16
1328.0,-,12.21,23.13
1356.25,-,12.67,22.29
1368.0,12.14,13.05,21.64
1382.5,12.14,14.71,19.21
1390.25,6.12,16.64,16.98
1393.5,6.12,17.09,16.53
1367.25,6.12,17.39,16.24
1444.25,4.42,11.74,24.06
1427.5,4.53,13.82,20.43
1405.0,4.53,11.11,25.42
1371.25,4.53,10.8,26.16
1363.75,4.53,10.76,26.26
1363.0,-,15.34,18.42
1324.75,-,16.67,16.94
1334.75,-,15.69,18
1342.75,4.77,15.96,17.7
1317.0,4.77,16.54,17.08
1401.25,4.77,13.81,20.45
1374.25,4.56,14.02,20.15
1395.25,4.56,13.74,20.56
1419.0,4.07,16.26,17.38
1437.0,5.49,16.45,17.18
1450.75,5.49,16.02,17.64
1443.5,5.49,16.38,17.25
1457.5,-,16.57,17.05
1482.25,-,17.34,16.29
1397.25,-,18.0,15.69
1414.25,-,17.01,16.6
1434.5,-,16.83,16.78
1394.5,-,17.24,16.38
1393.25,-,14.76,19.13
1430.5,-,10.23,27.61
1400.0,-,14.59,19.36
1398.5,-,17.29,16.33
1379.5,-,18.4,15.35
1362.25,-,16.13,17.52
1364.5,4.4,14.95,18.9
1341.5,4.4,17.09,16.53
1311.25,4.4,18.38,15.37
1292.0,4.4,17.23,16.39
1293.75,-,14.57,19.39
1325.5,-,13.81,20.45
1341.5,5.01,13.25,21.32
1394.75,11.06,12.65,22.33
1432.25,8.67,13.6,20.78
1449.5,8.67,14.04,20.12
1434.75,5.66,16.24,17.39
1444.75,5.66,14.72,19.19
1456.5,4.86,13.96,20.24
1455.5,4.86,17.29,16.34
1468.5,4.86,15.4,18.34
1479.25,4.86,15.32,18.43
1491.0,5.2,15.0,18.83
1516.5,5.87,14.47,19.53
1520.0,5.87,15.12,18.68
1488.0,5.87,17.23,16.39
1462.25,5.87,12.18,23.19
1390.0,-,10.83,26.07
1357.25,-,10.64,26.54
1348.75,-,10.64,26.55
1345.0,4.64,15.49,18.24
1349.5,4.64,15.31,18.45
1368.25,4.64,12.96,21.8
1400.75,12.26,12.64,22.34
1406.25,12.26,14.91,18.94
1370.25,12.26,18.36,15.39
1361.25,-,18.62,15.17
1384.5,-,14.33,19.72
1409.25,4.9,10.12,27.91
1448.75,4.9,13.41,21.06
1459.5,4.75,14.62,19.32
1450.0,5.68,16.49,17.13
1444.75,5.68,17.43,16.2
1453.5,6,15.54,18.17
1455.25,6,16.94,16.67
1439.5,6,15.07,18.75
1429.5,6,16.84,16.77
1438.0,-,16.17,17.46
1429.5,-,16.28,17.35
1434.5,-,17.62,16.03
1442.75,-,17.67,15.99
1432.75,-,17.27,16.35
1439.0,-,17.02,16.59
1399.25,-,15.84,17.83
1380.0,-,13.91,20.31
1408.75,-,13.21,21.39
1425.25,8.12,13.23,21.35
1462.75,5.25,12.86,21.97
1465.0,5.25,14.24,19.84
1471.5,5.25,15.67,18.03
1481.75,5.25,15.56,18.15
1455.25,-,14.88,18.99
1499.75,-,17.67,15.99
1437.75,-,17.16,16.46
1422.5,-,17.59,16.06
1433.5,-,16.76,16.86
1449.0,-,17.09,16.53
1410.0,-,16.93,16.68
1412.0,-,16.32,17.3
1403.0,-,17.01,16.6
1404.75,-,16.86,16.76
1403.75,-,16.73,16.88
1401.5,-,16.3,17.33
1410.75,-,16.24,17.4
1417.0,-,15.94,17.72
1407.75,-,16.14,17.5
1397.75,-,16.16,17.48
1398.75,-,16.32,17.3
1359.0,-,16.12,17.53
1379.75,-,14.59,19.36
1384.5,-,14.8,19.09
1344.75,-,14.73,19.18
1340.75,-,13.81,20.45
1347.5,-,9.9,28.52
1348.25,-,10.82,26.11
1357.75,-,9.38,30.11
1358.75,-,10.25,27.56
1338.25,-,9.48,29.79
1347.5,-,8.88,31.82
1346.5,-,9.15,30.88
1352.25,-,9.58,29.49
1347.0,-,10.9,25.92
1335.25,-,12.38,22.81
1347.25,-,11.28,25.04
1346.75,-,10.54,26.81
1347.75,-,13.07,21.62
1350.0,-,13.78,20.5
1325.0,-,16.45,17.18
1232.25,-,11.48,24.6
1180.25,-,13.76,20.52
1159.5,-,13.66,20.68
1141.0,-,16.88,16.73
1150.5,-,17.53,16.11
1104.75,-,12.74,22.17
1123.0,-,11.33,24.93
1128.0,-,16.0,17.65
1078.75,-,13.31,21.22
1055.0,-,11.35,24.89
1072.5,3.72,11.26,25.09
1085.0,3.72,14.91,18.95
1154.5,3.83,16.86,16.75
1144.75,5.02,16.55,17.07
1150.5,5.02,12.17,23.21
1193.75,5.02,10.97,25.76
1175.0,8.26,11.19,25.24
1180.5,8.26,10.81,26.14
1180.25,4.07,14.03,20.13
1169.0,4.07,16.61,17
1154.5,4.07,17.16,16.47
1154.25,4.07,16.97,16.65
1179.5,4.47,15.29,18.48
1170.75,4.47,16.38,17.24
1129.5,4.47,16.49,17.13
1124.5,4.47,17.37,16.26
1094.0,-,11.63,24.29
1056.75,-,11.45,24.68
1033.0,-,14.21,19.89
1053.0,-,13.95,20.24
1040.25,-,13.17,21.45
1072.25,7.82,11.06,25.54
1128.5,7.82,11.83,23.89
1147.0,6.72,12.8,22.07
1179.5,4.93,12.81,22.05
1187.0,4.77,14.98,18.85
1190.5,4.77,13.42,21.05
1214.25,4.77,13.29,21.25
1180.25,-,17.17,16.46
1143.25,-,15.09,18.72
1137.5,-,14.87,18.99
1117.25,-,14.17,19.93
1137.75,-,13.76,20.53
1151.25,-,13.83,20.43
1177.75,4.5,13.57,20.82
1152.5,4.5,17.25,16.38
1124.0,4.5,14.55,19.41
1090.25,4.5,11.05,25.56
1064.0,-,15.57,18.14
1036.0,-,15.73,17.96
1041.0,-,11.7,24.15
1051.5,3.73,10.83,26.09
1087.5,3.73,10.73,26.32
1182.5,11.57,9.82,28.76
1212.75,9.43,11.35,24.9
1253.5,7.98,12.2,23.15
1242.5,7.98,16.39,17.24
1215.0,7.98,17.25,16.37
1192.25,7.98,11.14,25.36
1229.25,4.73,10.36,27.26
1309.0,13.32,9.5,29.75
1326.0,13.32,11.49,24.59
1363.25,5.67,12.44,22.71
1384.75,9.31,13.8,20.47
1428.25,5,13.45,21
1433.25,5,13.14,21.5
1440.0,5,17.27,16.35
1433.75,5,16.22,17.42
1443.0,-,15.91,17.76
1458.5,-,16.08,17.57
1433.25,-,17.57,16.08
1444.25,-,15.69,18
1487.0,-,9.76,28.93
1249.25,9.15,15.99,17.66
1243.0,9.15,12.84,22
1253.25,5.88,13.93,20.27
1243.0,5.88,21.09,13.4
1242.25,5.88,14.33,19.71
1238.0,-,15.46,18.27
1241.75,-,16.25,17.39
1245.75,-,17.74,15.92
1242.75,-,18.01,15.69
1240.5,-,18.07,15.63
1238.5,-,17.21,16.42
1241.0,-,16.79,16.83
1225.0,5.58,18.82,15.01
1232.5,5.58,18.65,15.15
1231.0,5.58,18.48,15.29
1229.5,-,18.8,15.03
1221.0,-,20.04,14.1
1231.75,-,19.63,14.39
1202.0,-,20.37,13.86
1202.5,-,21.16,13.35
1188.25,-,21.69,13.02
1177.25,-,20.99,13.46
1175.75,-,19.42,14.55
1175.5,-,19.28,14.65
1157.75,-,19.84,14.24
1154.75,-,21.82,12.95
1138.5,-,14.08,20.07
1109.75,-,16.3,17.33
1095.0,-,19.2,14.71
1084.25,-,20.3,13.91
1050.0,-,21.06,13.41
1047.5,-,21.72,13.01
1001.5,-,19.59,14.42
1003.5,-,14.66,19.27
1024.25,-,14.72,19.19
1035.75,4.36,13.63,20.72
1041.5,4.05,19.53,14.46
1035.5,4.05,20.42,13.84
1037.5,4.05,20.17,14
1071.75,4.05,15.94,17.72
1111.25,8.66,15.71,17.98
1116.75,5.1,15.89,17.77
1130.25,5.31,16.34,17.28
1142.75,4.89,19.56,14.44
1135.75,4.89,21.84,12.93
1110.25,4.89,23.14,12.21
1108.0,4.89,19.8,14.27
1087.0,-,20.07,14.07
1063.5,-,20.62,13.7
1061.75,-,20.25,13.95
1077.25,4.56,14.08,20.07
1091.5,4.56,15.95,17.71
1102.75,3.73,15.91,17.75
1130.75,5.03,15.55,18.17
1136.75,5.03,17.31,16.32
1151.25,5.14,18.44,15.32
1149.0,5.14,20.25,13.95
1127.0,5.14,21.88,12.91
1099.75,-,13.99,20.19
1092.0,-,13.43,21.04
1091.75,-,14.65,19.28
1097.25,6.16,19.06,14.82
1105.75,6.16,15.83,17.85
1116.5,6.16,15.75,17.93
1122.0,4.19,16.39,17.23
1110.5,4.19,19.43,14.54
1018.0,4.19,21.36,13.22
1295.25,-,18.86,14.98
1311.75,-,16.36,17.26
1331.5,-,13.53,20.87
1342.25,-,14.2,19.89
1350.75,4.3,14.69,19.23
1336.25,4.3,15.53,18.19
1347.75,4.3,13.86,20.37
1360.25,-,14.61,19.34
1365.0,4.61,14.3,19.75
1364.0,4.61,15.57,18.14
1344.75,4.61,17.53,16.11
1337.5,4.61,18.74,15.08
1311.75,-,18.12,15.59
1287.75,-,17.35,16.28
1290.5,-,16.39,17.24
1301.25,5.25,13.89,20.34
1335.25,4.68,13.67,20.66
1358.75,4.68,13.29,21.26
1369.0,4.34,13.71,20.61
1383.0,4.34,15.75,17.94
1372.0,4.34,17.76,15.91
1355.5,-,18.74,15.08
1321.0,-,16.17,17.47
1335.75,-,14.9,18.96
1330.0,4.62,16.42,17.2
1348.0,4.62,14.59,19.36
1363.25,4.77,13.08,21.6
1374.5,4.77,13.49,20.94
1381.25,4.77,16.4,17.23
1382.5,4.77,16.59,17.02
1389.25,-,15.7,17.99
1412.5,-,14.72,19.19
1428.25,5.15,14.51,19.46
1436.75,5.08,16.2,17.44
1440.0,5.08,17.25,16.38
1424.0,5.08,17.07,16.55
1416.5,-,18.37,15.38
1425.75,-,17.32,16.31
1424.25,4.75,17.13,16.49
1411.5,4.75,17.92,15.76
1416.75,4.75,17.01,16.6
1418.75,4.75,15.49,18.24
1411.5,-,15.98,17.68
1416.75,-,17.13,16.49
1404.0,-,17.62,16.03
1391.25,-,17.53,16.11
1395.25,4.44,14.74,19.16
1393.75,4.44,15.18,18.61
1403.25,4.44,14.64,19.29
1407.75,4.44,15.68,18.02
1388.0,-,17.53,16.11
1418.5,-,14.66,19.27
1425.5,4.9,15.04,18.78
1461.25,4.9,17.43,16.2
1393.75,4.9,17.81,15.86
1401.0,-,15.44,18.3
1415.0,4.65,15.38,18.37
1419.5,4.65,16.76,16.85
1418.75,4.97,16.68,16.93
1426.5,4.97,17.46,16.18
1434.0,4.97,15.69,18
1438.75,4.97,16.51,17.11
1426.25,-,18.49,15.28
1428.0,-,14.08,20.06
1441.25,4.55,15.1,18.71
1459.25,4.55,16.24,17.39
1405.0,4.55,17.7,15.96
1395.75,4.55,17.45,16.18
1396.75,-,16.57,17.05
1404.0,-,11.11,25.43
1433.75,5.11,9.46,29.86
1476.0,9.29,11.21,25.19
1479.5,9.29,15.19,18.6
1468.0,5.04,17.47,16.17
1457.25,5.04,18.24,15.49
1444.5,5.04,11.37,24.85
1427.0,5.09,13.62,20.75
1440.0,5.09,16.29,17.34
1468.5,5.09,15.56,18.15
1475.5,5.09,15.69,18.01
1476.5,5.09,15.88,17.79
1498.0,5.09,16.31,17.32
1478.75,5.09,16.01,17.65
1479.0,-,15.65,18.05
1484.25,-,15.9,17.77
1467.25,4.86,16.42,17.2
1487.25,4.86,15.98,17.67
1480.75,4.86,16.16,17.48
1472.75,-,17.19,16.43
1455.5,-,16.59,17.03
1473.25,-,16.07,17.58
1493.0,-,16.19,17.45
1506.0,5.1,14.95,18.9
1534.5,5.1,15.64,18.06
1551.5,12.24,11.26,25.08
1628.75,18.45,7.85,35.97
1659.5,18.45,7.34,38.47
1691.0,11.58,9.27,30.48
1465.25,11.58,17.36,16.27
1419.75,11.58,14.39,19.63
1428.5,5.52,16.32,17.31
1441.75,5.52,16.85,16.77
1434.5,5.52,18.63,15.16
1434.0,-,19.06,14.82
1427.5,-,18.2,15.52
1423.25,-,17.62,16.03
1432.75,-,18.39,15.36
1436.5,-,18.46,15.3
1431.5,-,18.61,15.18
1428.0,-,18.83,15
1434.75,-,18.98,14.88
1431.5,-,18.33,15.41
1446.0,-,18.7,15.11
1440.25,5.55,19.0,14.86
1403.0,5.55,22.49,12.56
1426.5,5.55,15.43,18.31
1383.5,-,17.42,16.21
1376.75,-,19.27,14.66
1344.0,-,21.36,13.22
1353.25,-,21.55,13.11
1325.25,-,21.64,13.05
1330.75,-,17.43,16.2
1373.0,-,11.73,24.09
1372.0,11.13,12.47,22.65
1390.25,5.87,16.13,17.52
1399.5,5.87,16.49,17.13
1413.0,5.87,16.26,17.37
1421.0,6.38,17.76,15.91
1433.0,6.38,16.91,16.71
1435.5,6.38,16.41,17.21
1404.5,-,20.59,13.72
1410.0,-,18.98,14.88
1422.75,6.71,18.31,15.43
1435.0,6.71,17.11,16.51
1442.75,6.71,16.38,17.25
1454.5,6.12,17.18,16.44
1456.75,6.12,18.28,15.46
1460.25,6.12,19.49,14.49
1461.75,-,19.82,14.25
1447.75,-,20.27,13.94
1417.75,-,22.01,12.84
1387.75,-,20.13,14.03
1372.25,-,20.93,13.5
1357.75,-,20.55,13.75
1358.75,-,19.76,14.29
1353.0,-,18.23,15.5
1381.5,5.09,13.39,21.1
1382.0,5.09,15.84,17.83
1396.0,5.67,16.45,17.17
1403.5,5.67,16.4,17.23
1402.0,5.67,16.67,16.94
1422.75,5.67,17.67,15.98
1407.75,5.25,18.55,15.23
1389.0,5.25,21.58,13.09
1381.0,5.25,18.32,15.42
1386.0,-,17.74,15.92
1412.0,-,17.47,16.17
1411.5,6.67,17.36,16.27
1421.0,5.14,17.7,15.96
1430.25,5.14,18.01,15.68
1434.25,5.14,17.39,16.25
1458.0,5.61,11.84,23.86
1472.5,5.92,16.14,17.5
1474.5,5.92,17.03,16.59
1481.5,5.92,18.0,15.7
1485.5,5.92,17.63,16.02
1498.0,-,17.71,15.95
1490.5,-,16.97,16.64
1505.75,6.06,17.4,16.23
1504.25,6.06,18.22,15.51
1498.75,6.06,18.53,15.25
1501.25,6.06,18.17,15.55
1496.0,-,17.28,16.35
1469.5,-,12.98,21.75
1457.5,-,13.64,20.71
1456.5,-,14.67,19.26
1448.25,-,11.83,23.88
1452.5,-,10.26,27.52
1474.75,6.59,9.47,29.84
1482.0,6.59,9.39,30.1
1481.0,6.59,11.65,24.25
1477.5,-,14.1,20.03
1475.75,-,15.69,18
1471.75,-,18.27,15.46
1454.0,-,19.18,14.73
1439.5,-,19.03,14.85
1421.5,-,19.71,14.33
1402.75,-,13.68,20.66
1409.0,-,14.31,19.74
1424.5,6.75,16.51,17.11
1418.5,6.75,18.17,15.55
1444.25,6.75,19.57,14.44
1429.75,5.51,19.76,14.29
1429.25,5.51,20.17,14
1434.5,5.51,21.93,12.88
1422.75,5.51,21.86,12.92
1423.75,-,22.03,12.82
1467.75,5.75,19.68,14.35
1459.5,5.75,21.32,13.25
1458.75,5.75,21.65,13.05
1464.5,-,21.51,13.13
1477.75,5.95,21.65,13.05
1486.25,5.95,21.31,13.26
1496.25,5.95,21.06,13.41
1482.75,-,21.21,13.32
1468.5,-,20.97,13.47
1464.0,-,20.56,13.74
1455.5,-,19.77,14.29
1444.75,-,19.85,14.23
1426.75,-,20.7,13.64
1444.0,-,20.49,13.79
1411.0,-,20.62,13.7
1423.25,-,20.41,13.84
1428.25,-,18.88,14.96
1423.75,-,17.83,15.84
1430.5,-,18.92,14.93
1440.75,-,19.13,14.77
1426.5,-,18.98,14.88
1425.75,-,20.59,13.72
1435.0,-,17.85,15.82
1438.0,-,17.87,15.8
1450.5,6.17,18.05,15.65
1447.0,6.17,18.78,15.04
1450.75,6.17,18.49,15.28
1434.0,-,19.53,14.47
1419.25,-,22.07,12.8
1412.75,5.88,17.6,16.05
1419.0,5.88,17.56,16.09
1437.25,5.88,17.96,15.73
1424.0,5.88,21.34,13.24
1409.0,-,19.14,14.76
1414.75,-,18.5,15.27
1419.75,5.35,18.98,14.88
1419.75,5.35,19.24,14.68
1426.75,5.35,19.45,14.52
1413.75,-,19.74,14.31
1417.0,6.04,18.75,15.07
1428.75,6.04,18.41,15.34
1440.25,6.04,18.31,15.43
1442.0,5.61,18.73,15.08
1453.5,5.61,19.03,14.85
1454.75,5.61,17.58,16.07
1460.75,5.61,19.42,14.55
1411.25,-,18.41,15.34
1390.25,-,13.36,21.14
1344.75,-,19.01,14.86
1321.75,-,20.62,13.7
1306.5,-,21.81,12.95
1260.0,-,22.37,12.63
1247.25,-,22.61,12.49
1220.75,-,21.84,12.93
1207.75,-,28.0,10.09
880.0,-,28.76,9.82
863.75,-,29.83,9.47
870.75,-,29.02,9.73
875.5,-,28.44,9.93
865.75,-,28.84,9.79
874.25,-,28.49,9.92
869.25,-,25.12,11.25
865.75,-,24.61,11.48
867.75,-,24.06,11.74
853.75,-,24.17,11.69
868.25,-,22.15,12.75
873.0,-,22.79,12.4
865.75,-,21.92,12.89
871.25,-,21.64,13.05
932.75,-,21.45,13.17
1300.5,-,8.6,32.85
1364.25,3.54,8.32,33.94
1392.0,10.55,9.26,30.49
1369.5,10.55,13.02,21.69
1291.25,10.55,9.22,30.65
1290.0,-,8.9,31.74
1407.75,14.31,8.25,34.23
1470.25,10.78,10.36,27.26
1554.75,10.71,11.16,25.32
1593.75,10.71,7.03,40.16
1344.0,4.8,10.33,27.35
1343.5,4.66,9.2,30.7
1376.0,4.66,12.3,22.97
1412.5,9.32,13.4,21.08
1440.75,4.99,13.85,20.4
1478.75,4.85,13.25,21.32
1489.25,4.85,13.11,21.55
1583.25,11.18,7.6,37.16
1618.5,16.11,9.21,30.66
1587.25,5.92,11.71,24.13
1186.5,5.92,20.87,13.54
1337.0,5.92,18.81,15.02
1338.5,5.92,18.47,15.29
1348.25,-,17.15,16.47
1366.5,5.56,17.69,15.97
1364.25,5.37,18.66,15.14
1366.5,5.37,19.77,14.29
1373.5,5.37,18.38,15.37
1381.75,5.37,17.35,16.28
1408.75,6.12,17.19,16.43
1411.0,6.12,18.13,15.58
1437.0,6.74,17.76,15.9
1433.75,6.74,18.88,14.96
1442.75,6.15,19.18,14.73
1452.25,6.15,15.65,18.05
1461.5,6.15,16.14,17.5
1456.25,-,19.37,14.59
1438.0,-,21.87,12.92
1444.75,-,21.72,13
1429.75,-,21.3,13.26
1424.5,-,20.46,13.8
1416.25,-,20.56,13.74
1417.25,-,20.7,13.64
1409.5,-,21.27,13.28
1418.5,-,19.35,14.6
1414.25,5.4,18.9,14.95
1396.75,5.4,21.85,12.93
1385.75,5.4,22.34,12.65
1383.5,5.4,20.46,13.81
1389.0,-,18.28,15.45
1390.75,-,18.85,14.98
1398.5,5.41,19.65,14.38
1402.75,5.41,19.3,14.64
1404.5,5.41,18.85,14.98
1403.0,-,21.22,13.31
1385.0,-,21.51,13.13
1375.0,-,20.34,13.89
1371.5,-,20.93,13.5
1333.75,-,21.21,13.32
1309.5,-,22.34,12.65
1298.5,-,21.12,13.37
1304.25,-,21.6,13.08
1270.0,-,21.75,12.98
1262.5,-,21.86,12.92
1246.25,-,13.57,20.81
1268.75,-,13.93,20.28
1280.5,5.33,11.37,24.85
1279.75,5.33,18.16,15.56
1286.75,5.33,17.62,16.03
1263.25,-,21.75,12.98
1240.25,-,22.53,12.54
1227.5,-,22.08,12.79
1229.0,-,18.85,14.98
1218.25,-,15.95,17.71
1242.0,-,16.36,17.27
1253.25,-,18.82,15.01
1223.5,-,21.82,12.94
1214.75,-,19.63,14.39
1198.75,-,17.73,15.94
1207.75,-,17.73,15.94
1216.25,-,18.44,15.32
1222.25,5.47,18.85,14.98
1225.25,5.47,17.91,15.77
1214.0,5.47,20.97,13.47
1190.75,-,22.66,12.46
1164.5,-,13.97,20.22
1149.0,-,19.13,14.77
1146.0,-,18.04,15.66
1164.75,-,16.83,16.78
1160.25,-,16.3,17.33
1171.75,5.26,13.09,21.58
1210.0,5.18,12.65,22.32
1239.25,5.18,14.18,19.92
1250.0,4.89,14.53,19.44
1254.25,5.29,16.15,17.49
1257.75,5.29,14.86,19
1281.5,6,15.94,17.72
1283.5,6,16.24,17.4
1299.25,5.51,15.71,17.99
1305.75,5.51,15.88,17.79
1313.0,5.51,16.08,17.57
1325.0,5.92,16.39,17.24
1339.5,5.92,16.98,16.63
1343.75,5.46,17.53,16.11
1347.75,5.46,18.63,15.16
1351.5,5.46,18.66,15.14
1361.25,-,16.7,16.92
1370.0,5.95,17.74,15.92
1376.25,5.95,18.28,15.45
1372.0,5.95,20.01,14.12
1369.75,5.95,20.93,13.5
1361.25,-,21.36,13.22
1365.75,-,18.44,15.32
1366.75,6.15,19.41,14.55
1366.0,6.15,20.43,13.83
1359.25,6.15,20.06,14.08
1340.0,-,21.4,13.2
1310.25,-,22.81,12.38
1295.75,-,22.61,12.5
1278.25,-,22.81,12.38
1263.5,-,21.4,13.2
1255.75,-,19.54,14.46
1262.5,-,17.54,16.1
1266.25,-,17.32,16.31
1285.5,5.42,17.36,16.27
1298.75,5.26,16.6,17.02
1313.25,5.26,16.49,17.13
1327.0,5.26,17.08,16.54
1326.0,6.09,17.6,16.05
1336.75,6.09,17.65,16
1324.75,6.09,19.74,14.31
1343.5,-,17.14,16.48
1318.25,-,19.52,14.47
1317.75,5.12,18.12,15.59
1332.5,5.12,16.31,17.32
1348.75,6.03,17.55,16.09
1358.0,6.03,17.06,16.55
1348.0,6.03,13.52,20.89
1345.75,-,14.17,19.94
1340.75,-,13.27,21.29
1338.25,-,10.95,25.79
1325.25,-,13.1,21.57
1310.75,-,12.72,22.2
1307.5,-,11.34,24.9
1311.25,-,11.99,23.57
1311.75,-,13.68,20.64
1309.25,-,14.75,19.15
1316.25,5.72,11.87,23.8
1342.0,5.72,10.36,27.26
1359.25,5.07,11.25,25.1
1373.75,5.07,12.76,22.14
1381.75,5.07,14.58,19.37
1404.0,4.96,15.55,18.17
1409.0,5.4,15.98,17.68
1407.75,5.4,17.34,16.29
1410.25,5.4,20.47,13.8
1418.25,5.4,19.87,14.21
1416.25,-,19.38,14.58
1388.5,-,22.1,12.78
1402.0,-,22.05,12.81
1390.25,-,21.42,13.19
1392.0,-,21.99,12.84
1382.0,-,13.41,21.07
1386.0,-,16.54,17.08
1435.75,5.95,19.27,14.66
1415.25,5.95,20.47,13.8
1407.5,6.04,21.83,12.94
1409.75,6.04,13.42,21.05
1411.0,6.04,12.95,21.82
1413.5,-,12.95,21.82
1406.0,-,12.96,21.8
1406.5,-,12.87,21.94
1409.25,-,13.02,21.7
1389.75,-,17.09,16.53
1373.25,-,19.17,14.74
1385.5,-,19.77,14.29
1384.0,-,20.34,13.89
1367.75,-,20.37,13.87
1370.75,-,18.36,15.38
1380.75,-,17.9,15.78
1390.0,-,19.53,14.46
1357.75,-,17.33,16.3
1365.25,5.55,15.79,17.89
1392.75,6.26,15.73,17.96
1400.5,6.26,16.03,17.62
1418.0,6.26,15.98,17.68
1433.75,5.88,16.75,16.87
1442.25,7.6,17.93,15.75
1445.25,7.6,19.32,14.62
